timestamp,frame_id,label,confidence,x,y,width,height,detection_type,fps
2026-03-31 01:03:51.535575,1,person,0.604,373,290,618,422,pose,0.3
2026-03-31 01:03:51.748151,2,person,0.837,504,315,590,397,pose,3.7
2026-03-31 01:03:51.880398,3,person,0.829,494,327,698,384,pose,6.0
2026-03-31 01:03:52.051880,4,person,0.783,496,347,745,365,pose,7.5
2026-03-31 01:03:52.183081,5,person,0.824,504,366,758,346,pose,6.0
2026-03-31 01:03:52.306500,6,person,0.768,504,374,766,338,pose,7.6
2026-03-31 01:03:52.563919,7,person,0.808,512,379,761,335,pose,8.3
2026-03-31 01:03:52.727050,8,person,0.771,513,378,763,337,pose,4.0
2026-03-31 01:03:52.888760,9,person,0.831,513,375,762,341,pose,6.0
2026-03-31 01:03:52.994461,10,person,0.778,510,362,738,352,pose,6.0
2026-03-31 01:03:53.098266,11,person,0.854,505,343,689,370,pose,10.2
2026-03-31 01:03:53.192842,12,person,0.818,473,317,693,393,pose,9.9
2026-03-31 01:03:53.292739,13,person,0.756,474,291,714,419,pose,10.0
2026-03-31 01:03:53.393595,14,person,0.735,470,271,484,440,pose,10.0
2026-03-31 01:03:53.393655,14,person,0.643,904,254,376,457,pose,10.0
2026-03-31 01:03:53.493866,15,person,0.716,472,256,496,456,pose,10.1
2026-03-31 01:03:53.594388,16,person,0.744,463,239,519,473,pose,9.9
2026-03-31 01:03:53.694267,17,person,0.719,429,224,566,487,pose,10.1
2026-03-31 01:03:53.797861,18,person,0.806,452,221,533,490,pose,10.0
2026-03-31 01:03:53.901151,19,person,0.808,456,223,524,487,pose,10.0
2026-03-31 01:03:53.990249,20,person,0.736,460,230,516,480,pose,10.0
2026-03-31 01:03:54.092215,21,person,0.741,452,235,518,475,pose,9.9
2026-03-31 01:03:54.194507,22,person,0.751,442,239,528,471,pose,10.0
2026-03-31 01:03:54.291128,23,person,0.774,365,242,603,469,pose,10.0
2026-03-31 01:03:54.390922,24,person,0.759,369,242,598,468,pose,10.0
2026-03-31 01:03:54.491330,25,person,0.76,436,242,528,468,pose,10.0
2026-03-31 01:03:54.599484,26,person,0.752,437,239,530,472,pose,10.1
2026-03-31 01:03:54.599528,26,person,0.523,1068,317,211,390,pose,10.1
2026-03-31 01:03:54.690576,27,person,0.729,925,294,352,417,pose,10.0
2026-03-31 01:03:54.690635,27,person,0.711,353,237,612,475,pose,10.0
2026-03-31 01:03:54.792958,28,person,0.806,462,241,686,471,pose,9.9
2026-03-31 01:03:54.793010,28,person,0.524,319,1,537,575,pose,9.9
2026-03-31 01:03:54.896775,29,person,0.799,342,239,805,474,pose,10.1
2026-03-31 01:03:54.994905,30,person,0.835,448,239,715,473,pose,10.0
2026-03-31 01:03:55.092489,31,person,0.754,446,228,719,482,pose,9.9
2026-03-31 01:03:55.190994,32,person,0.734,436,217,729,492,pose,10.1
2026-03-31 01:03:55.191038,32,person,0.578,319,3,533,573,pose,10.1
2026-03-31 01:03:55.292176,33,person,0.784,416,207,751,503,pose,10.0
2026-03-31 01:03:55.391255,34,person,0.819,430,195,748,515,pose,10.0
2026-03-31 01:03:55.492914,35,person,0.827,426,190,753,522,pose,9.9
2026-03-31 01:03:55.590470,36,person,0.799,427,189,761,522,pose,10.1
2026-03-31 01:03:55.692442,37,person,0.829,428,189,761,522,pose,10.0
2026-03-31 01:03:55.790811,38,person,0.826,427,188,766,522,pose,10.0
2026-03-31 01:03:55.892540,39,person,0.817,426,190,763,521,pose,10.0
2026-03-31 01:03:55.991603,40,person,0.819,423,189,755,521,pose,10.0
2026-03-31 01:03:56.089835,41,person,0.843,426,188,749,522,pose,10.0
2026-03-31 01:03:56.194855,42,person,0.845,423,189,749,521,pose,9.9
2026-03-31 01:03:56.289502,43,person,0.836,420,188,758,522,pose,10.1
2026-03-31 01:03:56.391693,44,person,0.84,422,188,757,522,pose,10.0
2026-03-31 01:03:56.497124,45,person,0.84,423,189,765,520,pose,9.9
2026-03-31 01:03:56.592707,46,person,0.842,421,188,756,522,pose,10.1
2026-03-31 01:03:56.692267,47,person,0.844,425,188,758,523,pose,10.0
2026-03-31 01:03:56.791662,48,person,0.836,421,190,761,520,pose,10.0
2026-03-31 01:03:56.892646,49,person,0.839,423,189,754,521,pose,9.9
2026-03-31 01:03:56.991012,50,person,0.838,416,191,767,518,pose,10.1
2026-03-31 01:03:57.094335,51,person,0.851,422,189,753,521,pose,10.0
2026-03-31 01:03:57.190631,52,person,0.834,420,189,764,521,pose,10.0
2026-03-31 01:03:57.289814,53,person,0.833,417,189,769,521,pose,10.0
2026-03-31 01:03:57.391677,54,person,0.852,424,188,763,522,pose,10.0
2026-03-31 01:03:57.490028,55,person,0.838,419,189,765,521,pose,10.0
2026-03-31 01:03:57.600408,56,person,0.841,422,190,770,520,pose,9.9
2026-03-31 01:03:57.692712,57,person,0.835,422,190,770,520,pose,10.2
