timestamp,frame_id,label,confidence,x,y,width,height,detection_type,fps
2026-03-31 00:57:11.440140,1,face,1.0,387,315,96,96,face,0.3
2026-03-31 00:57:11.674487,1,person,0.801,426,279,533,432,pose,0.3
2026-03-31 00:57:12.025727,2,person,0.852,375,213,686,500,pose,2.3
2026-03-31 00:57:12.172328,3,face,1.0,387,246,94,94,face,3.0
2026-03-31 00:57:12.250067,3,person,0.831,367,206,720,506,pose,3.0
2026-03-31 00:57:12.364561,4,face,1.0,386,259,94,94,face,5.0
2026-03-31 00:57:12.440441,4,person,0.853,378,215,667,498,pose,5.0
2026-03-31 00:57:12.561254,5,face,1.0,388,266,91,91,face,5.0
2026-03-31 00:57:12.641979,5,person,0.809,383,222,660,490,pose,5.0
2026-03-31 00:57:12.762492,6,face,1.0,381,263,100,100,face,5.0
2026-03-31 00:57:12.832700,6,person,0.828,384,223,661,490,pose,5.0
2026-03-31 00:57:12.954222,7,face,1.0,389,238,93,93,face,5.0
2026-03-31 00:57:13.029332,7,person,0.808,363,191,731,519,pose,5.0
2026-03-31 00:57:13.155341,8,face,1.0,384,182,94,94,face,5.0
2026-03-31 00:57:13.239615,8,person,0.818,320,135,854,577,pose,5.0
2026-03-31 00:57:13.441598,9,person,0.902,310,31,944,680,pose,5.0
2026-03-31 00:57:13.568419,10,face,1.0,384,121,85,85,face,5.0
2026-03-31 00:57:13.667759,10,person,0.876,316,48,920,664,pose,5.0
2026-03-31 00:57:13.836007,11,face,1.0,512,228,226,226,face,4.3
2026-03-31 00:57:13.980243,11,person,0.858,325,39,887,674,pose,4.3
2026-03-31 00:57:14.213114,12,face,1.0,393,126,77,77,face,3.0
2026-03-31 00:57:14.363023,12,person,0.877,328,43,868,670,pose,3.0
2026-03-31 00:57:14.626311,13,person,0.894,326,38,752,673,pose,2.7
2026-03-31 00:57:14.828688,14,person,0.878,322,29,760,682,pose,3.8
2026-03-31 00:57:14.963782,15,face,1.0,417,353,75,75,face,5.1
2026-03-31 00:57:15.230329,16,person,0.612,479,97,663,612,pose,5.0
2026-03-31 00:57:15.373548,17,face,1.0,498,190,346,346,face,5.0
2026-03-31 00:57:15.439302,17,person,0.848,331,32,824,678,pose,5.0
2026-03-31 00:57:15.655947,18,person,0.704,496,231,403,485,pose,5.0
2026-03-31 00:57:15.886402,19,person,0.663,449,486,336,232,pose,4.3
2026-03-31 00:57:16.550285,22,face,1.0,486,308,398,398,face,4.3
2026-03-31 00:57:16.615879,22,person,0.63,494,161,679,550,pose,4.3
2026-03-31 00:57:16.774867,23,face,1.0,738,229,56,56,face,4.3
2026-03-31 00:57:16.774877,23,face,1.0,1141,390,78,78,face,4.3
2026-03-31 00:57:16.842075,23,person,0.839,210,45,841,665,pose,4.3
2026-03-31 00:57:17.040652,24,person,0.781,403,273,535,441,pose,4.3
2026-03-31 00:57:17.258394,25,person,0.648,448,336,382,379,pose,5.0
2026-03-31 00:57:17.480208,26,person,0.764,413,350,391,366,pose,4.3
2026-03-31 00:57:17.691156,27,person,0.797,468,322,426,393,pose,5.0
2026-03-31 00:57:17.845169,28,face,1.0,506,245,289,289,face,4.3
2026-03-31 00:57:17.912020,28,person,0.843,261,76,814,635,pose,4.3
2026-03-31 00:57:18.064418,29,face,1.0,479,207,312,312,face,5.0
2026-03-31 00:57:18.133715,29,person,0.874,262,47,794,662,pose,5.0
2026-03-31 00:57:18.293283,30,face,1.0,445,155,314,314,face,4.3
2026-03-31 00:57:18.362059,30,person,0.856,249,40,809,669,pose,4.3
2026-03-31 00:57:18.533125,31,face,1.0,665,461,113,113,face,4.3
2026-03-31 00:57:18.533133,31,face,1.0,444,213,289,289,face,4.3
2026-03-31 00:57:18.600052,31,person,0.86,264,125,750,585,pose,4.3
2026-03-31 00:57:18.770566,32,face,1.0,458,233,286,286,face,4.3
2026-03-31 00:57:18.839340,32,person,0.857,283,147,721,564,pose,4.3
2026-03-31 00:57:18.999512,33,face,1.0,520,278,278,278,face,4.3
2026-03-31 00:57:19.071793,33,person,0.789,346,180,607,531,pose,4.3
2026-03-31 00:57:19.233305,34,face,1.0,517,302,276,276,face,4.3
2026-03-31 00:57:19.300485,34,person,0.859,361,183,546,527,pose,4.3
2026-03-31 00:57:19.467170,35,face,1.0,515,307,278,278,face,4.3
2026-03-31 00:57:19.534373,35,person,0.853,366,181,541,529,pose,4.3
2026-03-31 00:57:19.701227,36,face,1.0,502,305,294,294,face,4.3
2026-03-31 00:57:19.774940,36,person,0.833,362,175,543,536,pose,4.3
2026-03-31 00:57:19.933356,37,face,1.0,501,304,298,298,face,4.3
2026-03-31 00:57:20.000738,37,person,0.858,365,177,533,533,pose,4.3
2026-03-31 00:57:20.167137,38,face,1.0,503,308,296,296,face,4.3
2026-03-31 00:57:20.234272,38,person,0.859,361,181,542,529,pose,4.3
2026-03-31 00:57:20.405271,39,face,1.0,512,315,285,285,face,4.3
2026-03-31 00:57:20.477389,39,person,0.793,363,169,565,541,pose,4.3
2026-03-31 00:57:20.698239,40,person,0.803,83,172,840,541,pose,4.3
